CPU %,MEM USAGE / LIMIT,MEM %,NET I/O,BLOCK I/O,PIDS
0.59%,207.9MiB / 1.941GiB,10.46%,15.2kB / 11.5kB,86.4MB / 49.2kB,51
0.61%,208MiB / 1.941GiB,10.46%,15.2kB / 11.5kB,86.4MB / 49.2kB,51
0.57%,208MiB / 1.941GiB,10.47%,15.2kB / 11.5kB,86.4MB / 49.2kB,51
0.68%,208MiB / 1.941GiB,10.47%,15.2kB / 11.5kB,86.4MB / 49.2kB,51
1.84%,208.1MiB / 1.941GiB,10.47%,15.2kB / 11.5kB,86.4MB / 49.2kB,51
0.73%,208.1MiB / 1.941GiB,10.47%,15.2kB / 11.5kB,86.5MB / 49.2kB,51
0.76%,208.1MiB / 1.941GiB,10.47%,15.2kB / 11.5kB,86.5MB / 49.2kB,51
0.74%,208.1MiB / 1.941GiB,10.47%,15.2kB / 11.5kB,86.5MB / 49.2kB,51
0.64%,208.1MiB / 1.941GiB,10.47%,15.2kB / 11.5kB,86.5MB / 49.2kB,51
26.62%,208.6MiB / 1.941GiB,10.50%,23.1kB / 14.7kB,86.6MB / 49.2kB,51
0.54%,208.6MiB / 1.941GiB,10.50%,23.1kB / 14.7kB,86.6MB / 49.2kB,51
0.58%,208.6MiB / 1.941GiB,10.50%,23.1kB / 14.7kB,86.6MB / 49.2kB,51
0.63%,208MiB / 1.941GiB,10.46%,23.2kB / 14.7kB,86.6MB / 49.2kB,51
0.40%,208MiB / 1.941GiB,10.47%,23.2kB / 14.7kB,86.6MB / 49.2kB,51
0.43%,205.4MiB / 1.941GiB,10.33%,23.3kB / 14.7kB,86.6MB / 49.2kB,51
0.28%,198.1MiB / 1.941GiB,9.97%,23.3kB / 14.7kB,86.6MB / 49.2kB,51
1.54%,194.7MiB / 1.941GiB,9.80%,27kB / 21.5kB,89.9MB / 49.2kB,51
0.80%,192.1MiB / 1.941GiB,9.67%,28.9kB / 24.9kB,90.4MB / 49.2kB,51
0.51%,190.5MiB / 1.941GiB,9.59%,28.9kB / 24.9kB,90.4MB / 49.2kB,51
0.64%,190.6MiB / 1.941GiB,9.59%,28.9kB / 24.9kB,90.4MB / 49.2kB,51
1.06%,189.4MiB / 1.941GiB,9.53%,29.9kB / 26.8kB,90.4MB / 49.2kB,51
0.66%,187.4MiB / 1.941GiB,9.43%,29.9kB / 26.8kB,90.4MB / 49.2kB,51
0.65%,186.6MiB / 1.941GiB,9.39%,30kB / 26.9kB,90.4MB / 49.2kB,51
0.56%,185.9MiB / 1.941GiB,9.35%,30kB / 26.9kB,90.4MB / 49.2kB,51
0.62%,185.9MiB / 1.941GiB,9.35%,30kB / 26.9kB,90.4MB / 49.2kB,51
0.63%,185.4MiB / 1.941GiB,9.33%,30kB / 26.9kB,90.4MB / 49.2kB,51
4.80%,184.6MiB / 1.941GiB,9.29%,32.6kB / 32.1kB,90.5MB / 49.2kB,51
0.46%,184.6MiB / 1.941GiB,9.29%,32.6kB / 32.1kB,90.5MB / 49.2kB,51
0.53%,182.8MiB / 1.941GiB,9.20%,32.6kB / 32.1kB,90.5MB / 49.2kB,51
18.28%,182.6MiB / 1.941GiB,9.19%,34.4kB / 35.5kB,90.6MB / 49.2kB,51
0.89%,182.4MiB / 1.941GiB,9.18%,34.4kB / 35.5kB,90.6MB / 49.2kB,51
2.41%,182.4MiB / 1.941GiB,9.18%,35.3kB / 37.3kB,90.7MB / 49.2kB,51
0.67%,181.9MiB / 1.941GiB,9.16%,35.3kB / 37.3kB,90.7MB / 49.2kB,51
0.78%,182.1MiB / 1.941GiB,9.16%,37.1kB / 40.7kB,90.8MB / 49.2kB,51
