CPU %,MEM USAGE / LIMIT,MEM %,NET I/O,BLOCK I/O,PIDS
0.58%,240.4MiB / 1.941GiB,12.10%,1.3kB / 0B,56.1MB / 81.9kB,52
0.53%,240.4MiB / 1.941GiB,12.10%,1.3kB / 0B,56.1MB / 81.9kB,52
0.51%,240.4MiB / 1.941GiB,12.10%,1.3kB / 0B,56.1MB / 81.9kB,52
0.51%,240.4MiB / 1.941GiB,12.10%,1.6kB / 0B,56.1MB / 81.9kB,52
0.53%,240.4MiB / 1.941GiB,12.10%,1.6kB / 0B,56.1MB / 81.9kB,52
0.58%,240.4MiB / 1.941GiB,12.10%,1.6kB / 0B,56.1MB / 81.9kB,52
0.60%,240.4MiB / 1.941GiB,12.10%,1.6kB / 0B,56.1MB / 81.9kB,52
0.33%,240.4MiB / 1.941GiB,12.10%,1.64kB / 0B,56.1MB / 81.9kB,52
0.41%,240.2MiB / 1.941GiB,12.09%,1.68kB / 0B,56.1MB / 81.9kB,52
108.48%,253.7MiB / 1.941GiB,12.77%,2.26kB / 649B,61.5MB / 81.9kB,52
3.03%,269.9MiB / 1.941GiB,13.58%,9.02kB / 3.42kB,65.7MB / 81.9kB,52
1.14%,275.1MiB / 1.941GiB,13.84%,11.1kB / 6.52kB,68.6MB / 81.9kB,53
21.48%,275.1MiB / 1.941GiB,13.84%,12.5kB / 10.3kB,68.6MB / 81.9kB,53
1.15%,275.2MiB / 1.941GiB,13.85%,13.5kB / 12.6kB,68.6MB / 81.9kB,53
13.48%,275MiB / 1.941GiB,13.84%,15.5kB / 15.4kB,69MB / 81.9kB,53
0.80%,274.9MiB / 1.941GiB,13.83%,15.5kB / 15.4kB,69MB / 81.9kB,53
4.08%,275.1MiB / 1.941GiB,13.84%,17.2kB / 20.2kB,69MB / 81.9kB,53
20.23%,275.3MiB / 1.941GiB,13.85%,22kB / 28.1kB,69MB / 81.9kB,53
7.50%,275.5MiB / 1.941GiB,13.86%,23.4kB / 30.6kB,69MB / 81.9kB,53
1.02%,275.6MiB / 1.941GiB,13.87%,24.6kB / 35.9kB,69MB / 81.9kB,53
16.89%,275.6MiB / 1.941GiB,13.87%,28.4kB / 41.6kB,69MB / 81.9kB,53
35.98%,276.3MiB / 1.941GiB,13.90%,37.2kB / 53.2kB,69.1MB / 81.9kB,53
9.66%,276.3MiB / 1.941GiB,13.90%,40.4kB / 57.2kB,69.1MB / 81.9kB,53
0.76%,276MiB / 1.941GiB,13.89%,40.9kB / 58.9kB,69.1MB / 81.9kB,53
1.55%,276MiB / 1.941GiB,13.89%,42.8kB / 68.1kB,69.2MB / 81.9kB,53
21.49%,277.5MiB / 1.941GiB,13.96%,49.3kB / 78.9kB,70.5MB / 81.9kB,53
4.52%,277.1MiB / 1.941GiB,13.94%,50.8kB / 84.8kB,70.5MB / 81.9kB,53
8.10%,277.3MiB / 1.941GiB,13.95%,53.8kB / 92.8kB,70.5MB / 81.9kB,53
15.77%,277.4MiB / 1.941GiB,13.96%,57.4kB / 105kB,70.5MB / 81.9kB,53
22.05%,277.8MiB / 1.941GiB,13.98%,62kB / 115kB,70.6MB / 81.9kB,53
2.41%,277.6MiB / 1.941GiB,13.97%,62.7kB / 118kB,70.6MB / 81.9kB,53
2.86%,277.8MiB / 1.941GiB,13.98%,66.5kB / 131kB,70.6MB / 81.9kB,53
1.33%,277.9MiB / 1.941GiB,13.99%,70.7kB / 141kB,70.6MB / 81.9kB,53
7.86%,278.5MiB / 1.941GiB,14.01%,75.2kB / 152kB,70.8MB / 81.9kB,53
2.61%,278.6MiB / 1.941GiB,14.02%,78.1kB / 164kB,70.9MB / 81.9kB,53
17.72%,278.9MiB / 1.941GiB,14.04%,82.3kB / 175kB,71MB / 81.9kB,53
7.61%,283.8MiB / 1.941GiB,14.28%,87.3kB / 187kB,71MB / 81.9kB,53
43.97%,284.1MiB / 1.941GiB,14.30%,99kB / 216kB,71.2MB / 81.9kB,53
10.29%,284.2MiB / 1.941GiB,14.30%,103kB / 231kB,71.2MB / 81.9kB,53
