CPU %,MEM USAGE / LIMIT,MEM %,NET I/O,BLOCK I/O,PIDS
0.66%,239.4MiB / 1.941GiB,12.05%,1.3kB / 0B,55.1MB / 24.6kB,52
0.99%,239.4MiB / 1.941GiB,12.05%,1.3kB / 0B,55.1MB / 24.6kB,52
0.63%,239.4MiB / 1.941GiB,12.05%,1.3kB / 0B,55.1MB / 24.6kB,52
0.83%,239.4MiB / 1.941GiB,12.05%,1.3kB / 0B,55.1MB / 24.6kB,52
0.76%,239.4MiB / 1.941GiB,12.05%,1.3kB / 0B,55.1MB / 24.6kB,52
0.83%,239MiB / 1.941GiB,12.03%,1.3kB / 0B,55.1MB / 24.6kB,52
0.89%,239MiB / 1.941GiB,12.03%,1.3kB / 0B,55.1MB / 24.6kB,52
0.65%,239MiB / 1.941GiB,12.03%,1.3kB / 0B,55.1MB / 24.6kB,52
0.58%,239MiB / 1.941GiB,12.03%,1.3kB / 0B,55.1MB / 24.6kB,52
0.54%,238.8MiB / 1.941GiB,12.02%,1.3kB / 0B,55.1MB / 24.6kB,52
0.67%,238.8MiB / 1.941GiB,12.02%,1.3kB / 0B,55.1MB / 24.6kB,52
0.78%,238.8MiB / 1.941GiB,12.02%,1.3kB / 0B,55.1MB / 24.6kB,52
0.56%,238.8MiB / 1.941GiB,12.02%,1.3kB / 0B,55.1MB / 24.6kB,52
0.62%,238.8MiB / 1.941GiB,12.02%,1.3kB / 0B,55.1MB / 24.6kB,52
0.51%,238.8MiB / 1.941GiB,12.02%,1.3kB / 0B,55.1MB / 24.6kB,52
0.56%,238.8MiB / 1.941GiB,12.02%,1.3kB / 0B,55.1MB / 24.6kB,52
0.65%,238.8MiB / 1.941GiB,12.02%,1.3kB / 0B,55.1MB / 24.6kB,52
0.61%,238.8MiB / 1.941GiB,12.02%,1.3kB / 0B,55.1MB / 24.6kB,52
0.39%,238.9MiB / 1.941GiB,12.02%,1.45kB / 0B,55.1MB / 24.6kB,52
0.55%,238.9MiB / 1.941GiB,12.02%,1.6kB / 0B,55.1MB / 24.6kB,52
0.59%,238.9MiB / 1.941GiB,12.02%,1.6kB / 0B,55.1MB / 24.6kB,52
0.43%,238.9MiB / 1.941GiB,12.02%,1.6kB / 0B,55.1MB / 24.6kB,52
0.69%,238.6MiB / 1.941GiB,12.01%,1.6kB / 0B,55.1MB / 24.6kB,52
150.43%,259.3MiB / 1.941GiB,13.05%,8.56kB / 2.94kB,61MB / 24.6kB,52
0.91%,261.6MiB / 1.941GiB,13.16%,9.49kB / 6kB,61.8MB / 24.6kB,52
0.33%,257.6MiB / 1.941GiB,12.96%,9.62kB / 6kB,61.8MB / 24.6kB,52
8.08%,256.4MiB / 1.941GiB,12.90%,10.3kB / 7.04kB,61.8MB / 24.6kB,52
0.81%,255.7MiB / 1.941GiB,12.86%,10.7kB / 8.57kB,61.8MB / 24.6kB,52
0.70%,255.7MiB / 1.941GiB,12.86%,10.7kB / 8.57kB,61.8MB / 24.6kB,52
0.78%,255.5MiB / 1.941GiB,12.86%,10.8kB / 8.57kB,61.8MB / 24.6kB,52
12.25%,255.7MiB / 1.941GiB,12.87%,13.3kB / 15.9kB,61.8MB / 24.6kB,52
0.54%,255.8MiB / 1.941GiB,12.87%,14.3kB / 18.5kB,61.8MB / 24.6kB,52
0.59%,255MiB / 1.941GiB,12.83%,14.3kB / 18.5kB,61.8MB / 24.6kB,52
1.19%,255.2MiB / 1.941GiB,12.84%,16.3kB / 23.6kB,61.8MB / 24.6kB,52
0.53%,255.2MiB / 1.941GiB,12.84%,16.3kB / 23.6kB,61.8MB / 24.6kB,52
13.99%,255.1MiB / 1.941GiB,12.84%,17.3kB / 26.2kB,61.8MB / 24.6kB,52
0.98%,255MiB / 1.941GiB,12.83%,18.3kB / 28.8kB,61.8MB / 24.6kB,52
17.80%,254.5MiB / 1.941GiB,12.81%,19.5kB / 33.5kB,61.8MB / 24.6kB,52
3.85%,256.6MiB / 1.941GiB,12.91%,21.8kB / 38.7kB,61.8MB / 24.6kB,52
0.45%,256.4MiB / 1.941GiB,12.90%,21.8kB / 38.7kB,61.8MB / 24.6kB,52
2.59%,256.4MiB / 1.941GiB,12.90%,23.4kB / 42.3kB,61.8MB / 24.6kB,52
0.91%,256.1MiB / 1.941GiB,12.89%,25.4kB / 48.6kB,61.8MB / 24.6kB,52
0.74%,256MiB / 1.941GiB,12.88%,26.4kB / 51.2kB,61.8MB / 24.6kB,52
1.17%,256MiB / 1.941GiB,12.88%,27.4kB / 53.7kB,61.8MB / 24.6kB,52
0.73%,256.1MiB / 1.941GiB,12.89%,28.4kB / 56.3kB,61.8MB / 24.6kB,52
1.50%,256.2MiB / 1.941GiB,12.89%,31.9kB / 66.2kB,61.9MB / 24.6kB,52
2.59%,264.9MiB / 1.941GiB,13.33%,33.9kB / 71.4kB,61.9MB / 24.6kB,52
9.33%,264.9MiB / 1.941GiB,13.33%,35.8kB / 75.2kB,61.9MB / 24.6kB,52
3.40%,254.2MiB / 1.941GiB,12.79%,43.2kB / 80.3kB,61.9MB / 24.6kB,52
3.02%,254.3MiB / 1.941GiB,12.80%,45.2kB / 85.5kB,61.9MB / 24.6kB,52
4.48%,254.5MiB / 1.941GiB,12.80%,47.2kB / 90.6kB,62MB / 24.6kB,52
3.19%,254.5MiB / 1.941GiB,12.81%,49.1kB / 95.8kB,62MB / 24.6kB,52
5.47%,256.9MiB / 1.941GiB,12.93%,51.7kB / 103kB,62MB / 24.6kB,52
0.87%,256.7MiB / 1.941GiB,12.92%,52.7kB / 106kB,62MB / 24.6kB,52
6.52%,256.8MiB / 1.941GiB,12.92%,54.7kB / 111kB,62MB / 24.6kB,52
2.66%,256.4MiB / 1.941GiB,12.90%,56.4kB / 116kB,62MB / 24.6kB,52
2.80%,256.3MiB / 1.941GiB,12.90%,58.7kB / 121kB,62MB / 24.6kB,52
1.83%,256.1MiB / 1.941GiB,12.89%,61.7kB / 129kB,62MB / 24.6kB,52
4.26%,256.1MiB / 1.941GiB,12.89%,64.6kB / 137kB,62MB / 24.6kB,52
7.08%,256.2MiB / 1.941GiB,12.89%,67.6kB / 144kB,62MB / 24.6kB,52
2.18%,255.6MiB / 1.941GiB,12.86%,70.6kB / 152kB,62MB / 24.6kB,52
2.73%,255.3MiB / 1.941GiB,12.85%,72.2kB / 157kB,62MB / 24.6kB,52
3.44%,255.3MiB / 1.941GiB,12.85%,73.6kB / 160kB,62MB / 24.6kB,52
8.15%,255MiB / 1.941GiB,12.83%,78.5kB / 173kB,62MB / 24.6kB,52
3.56%,254.9MiB / 1.941GiB,12.83%,80.5kB / 178kB,62MB / 24.6kB,52
10.53%,255MiB / 1.941GiB,12.83%,81.7kB / 181kB,62MB / 24.6kB,52
0.98%,255.2MiB / 1.941GiB,12.84%,85.5kB / 191kB,62MB / 24.6kB,52
2.69%,255MiB / 1.941GiB,12.83%,89.7kB / 203kB,62MB / 24.6kB,52
3.52%,255.2MiB / 1.941GiB,12.84%,92kB / 208kB,62MB / 24.6kB,52
2.95%,255.3MiB / 1.941GiB,12.85%,94.5kB / 216kB,62.1MB / 24.6kB,52
4.21%,255.1MiB / 1.941GiB,12.84%,97.5kB / 223kB,62.1MB / 24.6kB,52
5.03%,255MiB / 1.941GiB,12.83%,101kB / 232kB,62.1MB / 24.6kB,52
0.97%,254.9MiB / 1.941GiB,12.83%,103kB / 239kB,62.1MB / 24.6kB,52
1.20%,254.8MiB / 1.941GiB,12.82%,107kB / 249kB,62.1MB / 24.6kB,52
11.31%,255MiB / 1.941GiB,12.83%,113kB / 263kB,62.1MB / 24.6kB,52
3.38%,254.7MiB / 1.941GiB,12.82%,116kB / 273kB,62.2MB / 24.6kB,52
11.29%,254.7MiB / 1.941GiB,12.82%,120kB / 284kB,62.2MB / 24.6kB,52
3.15%,254.4MiB / 1.941GiB,12.80%,122kB / 289kB,62.2MB / 24.6kB,52
3.19%,254.5MiB / 1.941GiB,12.81%,124kB / 294kB,62.2MB / 24.6kB,52
3.10%,254.4MiB / 1.941GiB,12.80%,130kB / 309kB,62.2MB / 24.6kB,52
0.57%,254.3MiB / 1.941GiB,12.80%,130kB / 309kB,62.2MB / 24.6kB,52
10.46%,254.5MiB / 1.941GiB,12.81%,135kB / 327kB,62.2MB / 24.6kB,52
4.56%,254.4MiB / 1.941GiB,12.80%,139kB / 337kB,62.2MB / 24.6kB,52
4.10%,254.4MiB / 1.941GiB,12.80%,141kB / 342kB,62.2MB / 24.6kB,52
11.86%,254.7MiB / 1.941GiB,12.81%,148kB / 362kB,62.3MB / 24.6kB,52
7.55%,254.8MiB / 1.941GiB,12.82%,152kB / 370kB,62.3MB / 24.6kB,52
3.60%,254.3MiB / 1.941GiB,12.80%,154kB / 377kB,62.3MB / 24.6kB,52
13.03%,254.3MiB / 1.941GiB,12.80%,161kB / 395kB,62.4MB / 24.6kB,52
4.68%,253.7MiB / 1.941GiB,12.77%,163kB / 402kB,62.4MB / 24.6kB,52
5.69%,253.8MiB / 1.941GiB,12.77%,166kB / 410kB,62.4MB / 24.6kB,52
6.40%,253.9MiB / 1.941GiB,12.78%,172kB / 425kB,62.4MB / 24.6kB,52
2.16%,254MiB / 1.941GiB,12.78%,175kB / 432kB,62.4MB / 24.6kB,52
3.94%,250.2MiB / 1.941GiB,12.59%,177kB / 438kB,62.4MB / 24.6kB,52
3.80%,250.3MiB / 1.941GiB,12.60%,183kB / 455kB,62.4MB / 24.6kB,52
4.23%,250MiB / 1.941GiB,12.58%,188kB / 468kB,62.4MB / 24.6kB,52
14.86%,249.9MiB / 1.941GiB,12.58%,193kB / 481kB,62.5MB / 24.6kB,52
8.11%,250.2MiB / 1.941GiB,12.59%,199kB / 496kB,62.5MB / 24.6kB,52
4.23%,250.2MiB / 1.941GiB,12.59%,204kB / 511kB,62.5MB / 24.6kB,52
5.59%,250.3MiB / 1.941GiB,12.60%,208kB / 521kB,62.6MB / 24.6kB,52
2.59%,249.9MiB / 1.941GiB,12.58%,213kB / 534kB,62.6MB / 24.6kB,52
1.75%,249.8MiB / 1.941GiB,12.57%,215kB / 542kB,62.6MB / 24.6kB,52
3.70%,250.1MiB / 1.941GiB,12.59%,221kB / 555kB,62.7MB / 24.6kB,52
0.74%,250.2MiB / 1.941GiB,12.59%,224kB / 562kB,62.7MB / 24.6kB,52
5.59%,250.3MiB / 1.941GiB,12.59%,231kB / 582kB,62.7MB / 24.6kB,52
5.38%,250.2MiB / 1.941GiB,12.59%,235kB / 592kB,62.7MB / 24.6kB,52
3.49%,250.3MiB / 1.941GiB,12.59%,240kB / 604kB,62.7MB / 24.6kB,52
7.64%,250.3MiB / 1.941GiB,12.59%,248kB / 629kB,62.7MB / 24.6kB,52
4.96%,250.1MiB / 1.941GiB,12.59%,251kB / 637kB,62.7MB / 24.6kB,52
14.06%,250.4MiB / 1.941GiB,12.60%,257kB / 653kB,62.7MB / 24.6kB,52
