CPU %,MEM USAGE / LIMIT,MEM %,NET I/O,BLOCK I/O,PIDS
0.46%,162.7MiB / 1.941GiB,8.19%,1.3kB / 0B,30.5MB / 16.4kB,43
0.52%,162.7MiB / 1.941GiB,8.19%,1.3kB / 0B,30.5MB / 16.4kB,43
0.47%,162.7MiB / 1.941GiB,8.19%,1.3kB / 0B,30.5MB / 16.4kB,43
0.49%,162.7MiB / 1.941GiB,8.19%,1.3kB / 0B,30.5MB / 16.4kB,43
0.44%,162.7MiB / 1.941GiB,8.19%,1.3kB / 0B,30.5MB / 16.4kB,43
0.57%,162.7MiB / 1.941GiB,8.19%,1.3kB / 0B,30.5MB / 16.4kB,43
0.34%,162.8MiB / 1.941GiB,8.19%,1.3kB / 0B,30.5MB / 16.4kB,43
0.40%,162.8MiB / 1.941GiB,8.19%,1.6kB / 0B,30.5MB / 16.4kB,43
0.41%,162.8MiB / 1.941GiB,8.19%,1.6kB / 0B,30.5MB / 16.4kB,43
0.52%,162.8MiB / 1.941GiB,8.19%,1.6kB / 0B,30.5MB / 16.4kB,43
0.48%,162.5MiB / 1.941GiB,8.18%,1.6kB / 0B,30.5MB / 16.4kB,43
0.29%,162.5MiB / 1.941GiB,8.18%,1.64kB / 0B,30.5MB / 16.4kB,43
0.37%,161.7MiB / 1.941GiB,8.14%,1.68kB / 0B,30.5MB / 16.4kB,43
104.38%,183.9MiB / 1.941GiB,9.25%,2.82kB / 716B,36.2MB / 16.4kB,44
0.52%,183.5MiB / 1.941GiB,9.23%,3kB / 1.09kB,36.5MB / 16.4kB,44
0.52%,182.3MiB / 1.941GiB,9.17%,3.08kB / 1.09kB,36.5MB / 16.4kB,44
22.89%,183MiB / 1.941GiB,9.21%,6.32kB / 3.72kB,36.9MB / 16.4kB,44
0.55%,184.1MiB / 1.941GiB,9.26%,7.67kB / 4.85kB,36.9MB / 16.4kB,44
0.48%,183.9MiB / 1.941GiB,9.25%,7.71kB / 4.85kB,36.9MB / 16.4kB,44
0.50%,183.8MiB / 1.941GiB,9.25%,7.75kB / 4.89kB,36.9MB / 16.4kB,44
3.73%,183.4MiB / 1.941GiB,9.23%,10.7kB / 7.08kB,36.9MB / 16.4kB,44
0.47%,183.4MiB / 1.941GiB,9.23%,10.7kB / 7.08kB,36.9MB / 16.4kB,44
5.28%,183.5MiB / 1.941GiB,9.23%,12.5kB / 8.35kB,36.9MB / 16.4kB,44
0.64%,183.6MiB / 1.941GiB,9.24%,14.2kB / 9.47kB,36.9MB / 16.4kB,44
0.48%,183.2MiB / 1.941GiB,9.22%,14.2kB / 9.47kB,36.9MB / 16.4kB,44
21.78%,183.7MiB / 1.941GiB,9.24%,22kB / 14.7kB,37.2MB / 16.4kB,44
0.57%,182.7MiB / 1.941GiB,9.20%,22kB / 14.7kB,37.2MB / 16.4kB,44
0.48%,182.7MiB / 1.941GiB,9.20%,22kB / 14.7kB,37.2MB / 16.4kB,44
0.50%,183.8MiB / 1.941GiB,9.25%,28.9kB / 18.8kB,38.2MB / 16.4kB,44
0.30%,183.8MiB / 1.941GiB,9.25%,28.9kB / 18.8kB,38.2MB / 16.4kB,44
10.74%,183.5MiB / 1.941GiB,9.23%,34.4kB / 22kB,38.3MB / 16.4kB,44
4.17%,183.5MiB / 1.941GiB,9.23%,37.1kB / 23.5kB,38.4MB / 16.4kB,44
20.77%,184.5MiB / 1.941GiB,9.28%,45.2kB / 28.7kB,39.3MB / 16.4kB,44
4.50%,184.6MiB / 1.941GiB,9.29%,48.5kB / 30.5kB,39.3MB / 16.4kB,44
3.85%,184.4MiB / 1.941GiB,9.28%,51.9kB / 32.3kB,39.3MB / 16.4kB,44
3.94%,184.2MiB / 1.941GiB,9.27%,58.9kB / 36.1kB,39.4MB / 16.4kB,44
0.63%,184.2MiB / 1.941GiB,9.27%,62.6kB / 38kB,39.4MB / 16.4kB,44
