CPU %,MEM USAGE / LIMIT,MEM %,NET I/O,BLOCK I/O,PIDS
0.64%,241.5MiB / 1.941GiB,12.15%,5.29kB / 4.28kB,54.3MB / 16.4kB,47
0.45%,239.3MiB / 1.941GiB,12.04%,5.29kB / 4.28kB,54.3MB / 16.4kB,47
0.51%,239.3MiB / 1.941GiB,12.04%,5.29kB / 4.28kB,54.3MB / 16.4kB,47
0.47%,239.4MiB / 1.941GiB,12.04%,5.29kB / 4.28kB,54.3MB / 16.4kB,47
0.52%,239.4MiB / 1.941GiB,12.05%,5.29kB / 4.28kB,54.3MB / 16.4kB,47
0.61%,239.4MiB / 1.941GiB,12.05%,5.29kB / 4.28kB,54.3MB / 16.4kB,47
0.53%,239.4MiB / 1.941GiB,12.05%,5.29kB / 4.28kB,54.3MB / 16.4kB,47
0.59%,239.5MiB / 1.941GiB,12.05%,5.29kB / 4.28kB,54.3MB / 16.4kB,47
0.48%,239.5MiB / 1.941GiB,12.05%,5.29kB / 4.28kB,54.3MB / 16.4kB,47
0.50%,239.5MiB / 1.941GiB,12.05%,5.29kB / 4.28kB,54.3MB / 16.4kB,47
0.29%,239.5MiB / 1.941GiB,12.05%,5.44kB / 4.28kB,54.3MB / 16.4kB,47
0.59%,239.6MiB / 1.941GiB,12.06%,6.24kB / 5.31kB,54.3MB / 16.4kB,47
0.46%,239.6MiB / 1.941GiB,12.06%,6.24kB / 5.31kB,54.3MB / 16.4kB,47
0.39%,239.6MiB / 1.941GiB,12.06%,6.32kB / 5.39kB,54.3MB / 16.4kB,47
0.52%,239.1MiB / 1.941GiB,12.03%,6.32kB / 5.39kB,54.3MB / 16.4kB,47
3.64%,237.9MiB / 1.941GiB,11.97%,7.56kB / 7.45kB,54.3MB / 16.4kB,47
0.56%,237.7MiB / 1.941GiB,11.96%,7.56kB / 7.45kB,54.3MB / 16.4kB,47
0.22%,236.1MiB / 1.941GiB,11.88%,7.68kB / 7.45kB,54.3MB / 16.4kB,47
2.99%,234.5MiB / 1.941GiB,11.80%,9.56kB / 10.5kB,54.3MB / 16.4kB,47
0.53%,233.9MiB / 1.941GiB,11.77%,9.56kB / 10.5kB,54.3MB / 16.4kB,47
0.61%,233.6MiB / 1.941GiB,11.75%,11.2kB / 13.1kB,54.4MB / 16.4kB,47
0.44%,233.2MiB / 1.941GiB,11.74%,11.2kB / 13.1kB,54.4MB / 16.4kB,47
2.35%,233.4MiB / 1.941GiB,11.74%,13.6kB / 17.2kB,54.5MB / 16.4kB,47
0.55%,233.4MiB / 1.941GiB,11.74%,14.2kB / 18.3kB,54.5MB / 16.4kB,47
0.54%,232.5MiB / 1.941GiB,11.70%,14.2kB / 18.3kB,54.5MB / 16.4kB,47
1.42%,232.6MiB / 1.941GiB,11.71%,16.3kB / 21.4kB,54.6MB / 16.4kB,47
0.50%,232.7MiB / 1.941GiB,11.71%,17.5kB / 23.2kB,54.6MB / 16.4kB,47
